user id,product id,Interaction type,Time stamp,date,year,month,day_of_week,hour,Customer ID,customer_segment,age_group,Uniqe Id,price_segment,category_simple
1.0,4c69b61db1fc16e7013b43fc926e502d,purchase,2023-10-10 08:00:00,2023-10-10,2023,10,Tuesday,8,1,Medium,50-65,4c69b61db1fc16e7013b43fc926e502d,Luxury,Sports
2.0,66d49bbed043f5be260fa9f7fbff5957,view,2023-10-11 08:00:00,2023-10-11,2023,10,Wednesday,8,2,High,18-25,66d49bbed043f5be260fa9f7fbff5957,Luxury,Toys
3.0,2c55cae269aebf53838484b0d7dd931a,like,2023-10-12 08:00:00,2023-10-12,2023,10,Thursday,8,3,High,35-50,2c55cae269aebf53838484b0d7dd931a,Luxury,Toys
4.0,18018b6bc416dab347b1b7db79994afa,view,2023-10-13 08:00:00,2023-10-13,2023,10,Friday,8,4,VIP,18-25,18018b6bc416dab347b1b7db79994afa,Premium,Toys
5.0,e04b990e95bf73bbe6a3fa09785d7cd0,like,2023-10-14 08:00:00,2023-10-14,2023,10,Saturday,8,5,Medium,35-50,e04b990e95bf73bbe6a3fa09785d7cd0,Premium,Toys
6.0,f8c32a45e507a177992973cf0d46d20c,like,2023-10-15 08:00:00,2023-10-15,2023,10,Sunday,8,6,Low,35-50,f8c32a45e507a177992973cf0d46d20c,Premium,Other
7.0,40d3cd16b41970ae6872e914aecf2c8e,purchase,2023-10-16 08:00:00,2023-10-16,2023,10,Monday,8,7,VIP,50-65,40d3cd16b41970ae6872e914aecf2c8e,Premium,Clothing
8.0,bc178f33a04dbccefa95b165f8b56830,view,2023-10-17 08:00:00,2023-10-17,2023,10,Tuesday,8,8,Low,25-35,bc178f33a04dbccefa95b165f8b56830,Luxury,Toys
9.0,cc2083338a16c3fe2f7895289d2e98fe,like,2023-10-18 08:00:00,2023-10-18,2023,10,Wednesday,8,9,VIP,25-35,cc2083338a16c3fe2f7895289d2e98fe,Economy,Home
10.0,69828c5570dcdbd1609216d33fbad0db,purchase,2023-10-19 08:00:00,2023-10-19,2023,10,Thursday,8,10,Low,50-65,69828c5570dcdbd1609216d33fbad0db,Luxury,Other
11.0,7b0746d8afc8462ba17f8a763d9d5f1e,purchase,2023-10-20 08:00:00,2023-10-20,2023,10,Friday,8,11,Low,50-65,7b0746d8afc8462ba17f8a763d9d5f1e,Premium,Toys
12.0,c5f4c94653a3befd8dd16adf2914c04e,view,2023-10-21 08:00:00,2023-10-21,2023,10,Saturday,8,12,High,25-35,c5f4c94653a3befd8dd16adf2914c04e,Luxury,Toys
13.0,615ba903c134f439eaf8cdd1678ceb5c,like,2023-10-22 08:00:00,2023-10-22,2023,10,Sunday,8,13,High,50-65,615ba903c134f439eaf8cdd1678ceb5c,Luxury,Other
14.0,82c86a4d24dce5e14303033d7b658b78,view,2023-10-23 08:00:00,2023-10-23,2023,10,Monday,8,14,Medium,50-65,82c86a4d24dce5e14303033d7b658b78,Economy,Toys
15.0,1ecccb43e0f5c0162218371916ffa553,like,2023-10-24 08:00:00,2023-10-24,2023,10,Tuesday,8,15,Medium,50-65,1ecccb43e0f5c0162218371916ffa553,Budget,Toys
16.0,d1ac6d805fcdf75f9e00af611dd03ce4,like,2023-10-25 08:00:00,2023-10-25,2023,10,Wednesday,8,16,High,50-65,d1ac6d805fcdf75f9e00af611dd03ce4,Luxury,Toys
17.0,d82015ffbf4cd54b0edfb890002971f3,purchase,2023-10-26 08:00:00,2023-10-26,2023,10,Thursday,8,17,Low,18-25,d82015ffbf4cd54b0edfb890002971f3,Economy,Toys
18.0,39f1b8a2129315da0288cd058b6b6086,view,2023-10-27 08:00:00,2023-10-27,2023,10,Friday,8,18,Low,50-65,39f1b8a2129315da0288cd058b6b6086,Luxury,Home
19.0,4af0833f20a8421788fc04577b0ef1c5,like,2023-10-28 08:00:00,2023-10-28,2023,10,Saturday,8,19,Medium,50-65,4af0833f20a8421788fc04577b0ef1c5,Budget,Toys
20.0,fd71391871b94ead84733bc272dd5886,purchase,2023-10-29 08:00:00,2023-10-29,2023,10,Sunday,8,20,VIP,65+,fd71391871b94ead84733bc272dd5886,Premium,Toys
